fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,ticker
18 jun 2025,177.28,177.82,172.84,173.98,173.71,32531800,GOOG
17 jun 2025,177.0,178.71,175.94,177.23,176.96,17656100,GOOG
16 jun 2025,175.9,178.24,175.82,177.94,177.67,18132500,GOOG
13 jun 2025,173.58,178.34,173.57,175.88,175.61,20873200,GOOG
12 jun 2025,177.48,178.13,176.11,176.97,176.7,17345900,GOOG
11 jun 2025,181.23,181.75,178.0,178.79,178.51,18994400,GOOG
10 jun 2025,177.76,182.45,176.48,180.01,179.73,32908000,GOOG
9 jun 2025,175.87,177.91,175.66,177.63,177.36,18817600,GOOG
6 jun 2025,172.3,175.83,172.3,174.92,174.44,22258100,GOOG
5 jun 2025,171.62,172.36,169.35,169.81,169.34,25375400,GOOG
4 jun 2025,168.28,169.58,167.79,169.39,168.93,18508700,GOOG
3 jun 2025,168.87,169.8,166.68,167.71,167.25,25386700,GOOG
2 jun 2025,169.01,171.06,168.65,170.37,169.9,24742900,GOOG
30 may 2025,172.41,173.44,168.52,172.85,172.38,36258300,GOOG
29 may 2025,175.0,175.4,171.78,172.96,172.49,21174700,GOOG
28 may 2025,173.98,176.48,173.01,173.38,172.9,25999200,GOOG
27 may 2025,171.3,174.29,171.21,173.98,173.5,24341300,GOOG
23 may 2025,170.28,171.21,169.26,169.59,169.12,24963600,GOOG
22 may 2025,173.35,178.13,171.88,171.98,171.51,45024100,GOOG
21 may 2025,164.95,174.53,164.89,170.06,169.59,45567600,GOOG
20 may 2025,167.76,169.68,164.26,165.32,164.87,33563300,GOOG
19 may 2025,165.71,167.95,165.41,167.87,167.41,21374700,GOOG
16 may 2025,168.93,170.65,166.95,167.43,166.97,36271400,GOOG
15 may 2025,167.14,167.51,163.84,165.4,164.95,22717600,GOOG
14 may 2025,161.31,168.34,160.93,166.81,166.35,31769200,GOOG
